0 : 229.385117, 258.377106, 34.119061 
1 : 221.268387, 247.627090, 14.652904 
2 : 261.867554, 248.791397, 14.156733 
3 : 252.282135, 302.954254, 14.532680 
4 : 234.746658, 221.168060, 14.624582 
5 : 246.723557, 276.276459, 15.002275 
6 : 219.226334, 288.997681, 15.464203 
7 : 266.852356, 217.892059, 16.208437 
8 : 225.136520, 195.926254, 18.575985 
9 : 189.626083, 298.130432, 17.547827 
10 : 180.460526, 261.322357, 18.210526 
11 : 283.024841, 284.669067, 17.641596 
12 : 252.794098, 188.164551, 19.751055 
13 : 230.585541, 323.261047, 18.982302 
14 : 293.210754, 221.293716, 20.326233 
15 : 196.221558, 227.185623, 19.173653 
16 : -nan, -nan, -nan 
17 : 273.168640, 329.907288, 23.584318 
18 : 282.106110, 186.279266, 22.147560 
19 : 299.469574, 295.656006, 24.810452 
20 : 198.652374, 196.712097, 23.274120 
21 : 291.441559, 256.337677, 24.948051 
22 : 167.372543, 305.764709, 26.044117 
23 : 174.392975, 226.562302, 25.303514 
24 : 239.588806, 174.395203, 26.268801 
25 : 150.411270, 261.625366, 26.242254 
26 : 155.238327, 279.312042, 26.673218 
27 : 165.277924, 327.793152, 39.437817 
28 : 210.242386, 344.175476, 37.759895 
29 : 308.911530, 210.386063, 27.793566 
30 : 297.285706, 263.914276, 25.028572 
31 : 251.333328, 347.000000, 28.817461 
32 : 275.714294, 162.040817, 34.081635 
33 : 212.081604, 176.135208, 30.819733 
34 : 303.323029, 180.508499, 30.731066 
35 : 180.662338, 192.850647, 30.120131 
36 : 317.973297, 240.384338, 30.781139 
37 : -nan, -nan, -nan 
38 : 147.529709, 238.692078, 33.227722 
39 : 318.561157, 283.323730, 32.244606 
40 : -nan, -nan, -nan 
41 : 160.257797, 202.508881, 37.396065 
42 : 329.856506, 269.451019, 33.380409 
43 : 306.437958, 324.583954, 31.474453 
44 : 135.229401, 275.408234, 41.636078 
45 : 150.002151, 312.880646, 41.261292 
46 : 246.047180, 160.946732, 44.178082 
47 : 190.935059, 173.796539, 38.608948 
48 : 339.004517, 250.450150, 37.524170 
49 : 321.077393, 304.910706, 37.797619 
50 : 278.615631, 348.592834, 38.732899 
51 : 329.424133, 196.813232, 36.128407 
52 : -nan, -nan, -nan 
53 : -nan, -nan, -nan 
54 : 324.309998, 180.130005, 37.973331 
55 : 307.851410, 338.577637, 43.312187 
56 : -nan, -nan, -nan 
57 : 265.079987, 343.230011, 38.779999 
58 : -nan, -nan, -nan 
59 : 344.371552, 281.856262, 40.888378 
60 : 339.111115, 225.925919, 41.222221 
61 : 240.857147, 361.178558, 40.946430 
62 : 258.666656, 360.666656, 39.833332 
63 : 148.996292, 232.535187, 53.085186 
64 : -nan, -nan, -nan 
65 : 222.888885, 158.155548, 45.222221 
66 : 344.753418, 229.780823, 42.219177 
67 : 341.328888, 294.556152, 44.344921 
68 : 338.986664, 185.546661, 45.193333 
69 : 304.406464, 159.883865, 46.045162 
70 : 175.208481, 170.293289, 46.989399 
71 : 210.432434, 160.918915, 49.486488 
72 : 317.786652, 169.053329, 45.813332 
73 : 348.803925, 202.588242, 46.509804 
74 : 353.212860, 244.761047, 48.797188 
75 : 156.653336, 208.053329, 51.026669 
76 : 245.053696, 348.157715, 50.154362 
77 : 351.488373, 271.004639, 51.560467 
78 : 337.076935, 302.307678, 52.743591 
79 : 282.377563, 159.438782, 52.020409 
80 : 193.834747, 168.813553, 54.766949 
81 : 352.304047, 226.972977, 54.587837 
82 : 243.144821, 162.496552, 54.013794 
83 : 335.799988, 182.399994, 53.200001 
84 : 279.782623, 346.652161, 52.956520 
85 : 180.949203, 180.168442, 56.128342 
86 : 151.000000, 290.000000, 58.000000 
87 : -nan, -nan, -nan 
88 : 217.578949, 171.315796, 58.078949 
89 : -nan, -nan, -nan 
90 : 325.086945, 315.173920, 57.956520 
91 : -nan, -nan, -nan 
92 : 346.115082, 264.940491, 60.261906 
93 : -nan, -nan, -nan 
94 : -nan, -nan, -nan 
95 : -nan, -nan, -nan 
96 : -nan, -nan, -nan 
97 : -nan, -nan, -nan 
98 : -nan, -nan, -nan 
99 : -nan, -nan, -nan 
100 : -nan, -nan, -nan 
101 : -nan, -nan, -nan 
102 : -nan, -nan, -nan 
