0 : 232.303787, 257.101410, 33.090412 
1 : 234.865341, 222.761124, 14.485949 
2 : 251.451920, 303.814575, 14.322803 
3 : 219.847000, 248.622955, 14.938069 
4 : 262.364380, 249.105698, 14.559110 
5 : 247.083817, 275.908142, 15.113663 
6 : 218.897430, 289.320526, 15.548717 
7 : 266.742157, 217.570267, 16.477489 
8 : 188.571426, 298.920624, 17.015873 
9 : 225.821014, 196.291183, 18.955254 
10 : 180.668274, 261.985565, 18.516346 
11 : 282.959106, 285.816589, 17.788551 
12 : -nan, -nan, -nan 
13 : 293.568634, 223.351547, 20.114845 
14 : 229.845337, 322.687988, 19.626667 
15 : 196.571228, 225.460434, 19.435970 
16 : 253.820694, 188.008743, 20.612246 
17 : 284.545441, 191.568176, 23.386364 
18 : 297.547729, 255.432159, 23.532663 
19 : 273.722229, 321.500000, 18.833334 
20 : 266.000000, 324.000000, 21.000000 
21 : 293.857147, 300.428558, 21.142857 
22 : 196.874329, 196.500900, 23.177738 
23 : 300.723694, 296.013153, 24.976316 
24 : 282.153839, 181.307693, 22.230770 
25 : 309.500000, 211.435959, 27.371922 
26 : 174.043808, 225.973328, 25.906666 
27 : 167.757141, 306.328583, 26.260714 
28 : 151.651703, 261.454224, 27.296230 
29 : -nan, -nan, -nan 
30 : 240.756104, 174.084015, 27.073172 
31 : 141.859650, 275.005859, 37.662117 
32 : 165.923630, 327.192719, 40.109093 
33 : 209.210678, 343.233673, 38.287994 
34 : 278.500000, 158.000000, 35.000000 
35 : 308.250000, 178.750000, 29.458334 
36 : -nan, -nan, -nan 
37 : 250.172134, 341.180328, 26.680328 
38 : 277.616791, 342.547455, 31.007299 
39 : 208.292450, 173.872635, 30.509434 
40 : -nan, -nan, -nan 
41 : 316.735382, 242.477661, 29.725086 
42 : 178.804077, 193.922455, 30.669388 
43 : 321.285706, 237.571426, 30.714285 
44 : -nan, -nan, -nan 
45 : -nan, -nan, -nan 
46 : -nan, -nan, -nan 
47 : 156.016129, 212.577057, 33.057346 
48 : 151.057236, 236.584335, 33.222893 
49 : 143.437500, 239.518753, 36.562500 
50 : -nan, -nan, -nan 
51 : 320.078430, 284.235291, 32.274509 
52 : 309.152557, 322.915253, 31.762712 
53 : 251.920532, 350.264893, 32.172184 
54 : 329.622223, 197.547226, 35.458332 
55 : 331.822662, 269.748779, 33.408867 
56 : 239.940445, 159.178680, 38.313480 
57 : 341.613403, 245.860825, 36.108246 
58 : -nan, -nan, -nan 
59 : 151.214691, 311.902069, 43.180790 
60 : 170.485168, 177.395126, 45.952332 
61 : 307.633728, 337.569763, 36.819767 
62 : -nan, -nan, -nan 
63 : 323.872498, 180.315430, 37.899330 
64 : 267.582092, 343.298492, 38.865673 
65 : 343.384613, 224.778839, 39.865383 
66 : 354.612915, 245.788528, 48.584229 
67 : -nan, -nan, -nan 
68 : 213.992126, 161.283463, 49.299213 
69 : 160.269730, 207.640350, 52.010963 
70 : 257.802185, 358.516479, 39.098900 
71 : 347.348358, 279.016510, 43.972973 
72 : 244.439331, 353.297058, 45.794979 
73 : -nan, -nan, -nan 
74 : -nan, -nan, -nan 
75 : 341.779358, 294.636139, 44.169014 
76 : -nan, -nan, -nan 
77 : 338.366058, 187.098221, 44.482143 
78 : 303.288879, 161.644440, 45.888889 
79 : 346.331024, 204.186203, 45.710346 
80 : 317.111115, 171.148148, 46.111111 
81 : -nan, -nan, -nan 
82 : 308.321838, 338.264374, 47.915710 
83 : 255.598358, 161.733612, 50.758198 
84 : 151.045349, 233.630386, 54.455784 
85 : -nan, -nan, -nan 
86 : 352.497040, 226.721893, 54.272190 
87 : 336.462677, 302.149261, 52.522388 
88 : 195.096497, 169.182022, 54.896931 
89 : -nan, -nan, -nan 
90 : 281.500000, 345.000000, 53.000000 
91 : -nan, -nan, -nan 
92 : 242.000000, 161.214279, 54.285713 
93 : 181.580002, 179.643997, 55.939999 
94 : -nan, -nan, -nan 
95 : 184.603180, 331.825409, 58.158730 
96 : -nan, -nan, -nan 
97 : 345.593750, 263.031250, 59.656250 
98 : -nan, -nan, -nan 
99 : -nan, -nan, -nan 
100 : -nan, -nan, -nan 
101 : -nan, -nan, -nan 
102 : -nan, -nan, -nan 
103 : -nan, -nan, -nan 
104 : -nan, -nan, -nan 
105 : -nan, -nan, -nan 
106 : -nan, -nan, -nan 
107 : -nan, -nan, -nan 
108 : -nan, -nan, -nan 
109 : -nan, -nan, -nan 
110 : -nan, -nan, -nan 
111 : -nan, -nan, -nan 
